"personLabel"
"Dan Byles"
"Helena Roerich"
"Marianne North"
"George Curzon, 1st Marquess Curzon of Kedleston"
"Isabelle Eberhardt"
"Vázquez de Coronado"
"Édouard-Raoul Brygoo"
"Édouard-Alfred Martel"
"Émile Auguste Léon Hourst"
"Lavr Kornilov"
"Grigory Grumm-Grzhimaylo"
"Irving Johnson"
"Basil Hall"
"Jean de Quen"
"Hans Egede"
"Ilya Berezhnykh"
"George Back"
"Thomas George Montgomerie"
"Otto Fabricius"
"André Migot"
"Émile Gentil"
"Edith Durham"
"Isabella Bird"
"Jamling Tenzing Norgay"
"Henry D. Washburn"
"Étienne de Flacourt"
"Évariste Régis Huc"
"Yñigo Ortiz de Retez"
"Freya Stark"
"Ñuflo de Chaves"
"Jean-François de Galaup, comte de La Pérouse"
"Riebeeck Jan Van"
"Thomas Coryat"
"Hanno, the Navigator"
"Yermak Timofeyevich"
"René-Robert Cavelier, Sieur de La Salle"
"Edward Drinker Cope"
"Marie-Anne Gaboury"
"Yuriy Ponomaryow"
"Vittorio Bottego"
"Vasily Radlov"
"Mór Déchy"
"Abby Sunderland"
"Peter Cushing"
"Kazimierz Nowak"
"Hans Sloane"
"Diego Velazquez de Cuéllar"
"Antonio Pigafetta"
"Nikolay Gumilev"
"David Crockett"
"Silvestre Vélez de Escalante"
"George Finch"
"Dicuil"
"Dmitri Zaikin"
"Diego de Ordaz"
"Brian Caldwell"
"Ivan Lyakhov"
"Robert Bell"
"Robert Campbell"
"Edward Adrian Wilson"
"Verney Lovett Cameron"
"Diego de Almagro II"
"Cristóbal de Oñate"
"John Forrest"
"Alexandre de Serpa Pinto"
"Godfrid, Duke of Frisia"
"Albert Hastings Markham"
"Diego de Nicuesa"
"John Gardner Wilkinson"
"Gonzalo Piña Ludueña"
"Mikhail Vodopyanov"
"Johan August Wahlberg"
"Jens Munk"
"John McConnell Black"
"Svend Foyn"
"Stephen Troyte Dunn"
"Eggert Ólafsson"
"Francisco de Garay"
"James Fitzjames"
"Francis Masson"
"Cayetano Pignatelli, 3rd Marquis of Rubí"
"Eldad ha-Dani"
"Jacques Félix Emmanuel Hamelin"
"Friar Julian"
"Fernand Foureau"
"Gil González Dávila"
"Marco Siffredi"
"László Magyar"
"Yevgeny Tolstikov"
"Franklin Leonard Pope"
"William Lithgow"
"Hjalti Skeggiason"
"Oskar Victorovich Stark"
"António de Saldanha"
"René Jeannel"
"François Thijssen"
"George Mercer Dawson"
"Wojciech Kurtyka"
"Jean Ribault"
"Ivan Lepyokhin"
"Henry Larsen"
"Philippe Cousteau"
"Herjulf Bårdsson"
"Pyotr Chikhachyov"
"Mikhail Stadukhin"
"Q938165"
"Mikhail Gvozdev"
"Erik Laxmann"
"Leonard Hussey"
"James Marr"
"Francisco Atanasio Domínguez"
"Robert Ridgway"
"Pedro Teixeira"
"Pedro de Villagra"
"Robert F. Griggs"
"Jean Bachelot La Pylaie"
"Victor Hayward"
"Frederick George Jackson"
"Rolf Blomberg"
"William Temple Hornaday"
"Georgy Brusilov"
"Olivier Brunel"
"Pierre-Esprit Radisson"
"Sempronius H. Boyd"
"Charles Wyville Thomson"
"Peter Freuchen"
"Henryk Arctowski"
"Jean-Baptiste Marchand"
"Jack McQuesten"
"Rafael Karsten"
"Richard W. Richards"
"Raimondo Franchetti"
"William Winwood Reade"
"Serge Testa"
"Ferdinand Vandeveer Hayden"
"Pavle Kozjek"
"James Edward Alexander"
"Mamiya Rinzō"
"John McKinlay"
"Eric von Rosen"
"George Caley"
"Sataspes"
"Théodore Monod"
"Jean-Frédéric Waldeck"
"William Beebe"
"Eric de Bisschop"
"John Ball"
"Ernest Shackleton"
"Emil Racoviță"
"Yevfimiy Vasilyevich Putyatin"
"Carl Sofus Lumholtz"
"Carlos Carsolio"
"Egor Kovalevsky"
"Caspar Schmalkalden"
"Cecil Rawling"
"Nicoloso da Recco"
"Domenico Colombo"
"Patrick Brydone"
"Ingvar the Far-Travelled"
"Chaim Joseph David Azulai"
"Juan de Ayala"
"Charles Alexandre Lesueur"
"Charles Murray, 7th Earl of Dunmore"
"Charles Baudin"
"Charles Brewer-Carías"
"Charles Clerke"
"Charles Evans"
"Charles Fellows"
"Charles Floyd"
"Charles Fraser"
"Charles Gaudichaud-Beaupré"
"Charles Heaphy"
"Charles Hoadley"
"Charles Cooke Hunt"
"Charles Masson"
"Charles Noyes Forbes"
"Charles Russell Orcutt"
"Charles Gwynn"
"Charles-Émile Bouillevaux"
"Chay Blyth"
"Nikolai Petrovsky"
"Tróndur Patursson"
"Pêro Dias"
"Clarence King"
"Ángel de Villafañe"
"Carl Julius Evensen"
"András Jelky"
"August Adriaan Pulle"
"John Russell Bartlett"
"John Vincent"
"Jenő Kalmár"
"Colin Angus"
"Pedro Pizarro"
"Johannes Ruysch"
"Philip Barker Webb"
"José de Bustamante y Guerra"
"Lionel Greenstreet"
"Johan Nieuhof"
"Scipione Borghese, 10th Prince of Sulmona"
"Ralph Lane"
"Cristoforo Buondelmonti"
"Cristóbal Vaca de Castro"
"Duarte Barbosa"
"Archibald McMurdo"
"Georg Huth"
"Michio Hoshino"
"Emil Dagobert Schoenfeld"
"Daniel Frank Austin"
"Daniel Gottlieb Messerschmidt"
